external_gene_name	entrezgene
PPP1R18	107987457
CNOT3	4849
INTS6L	203522
LINC01689	101927869
UPK2	7379
B3GNT3	10331
PANX1	24145
TEX43	389320
BX537318.2	730668
AC109635.4	441601
VCX3B	425054
RNASE9	390443
HLA-DRA	3122
LINC00899	100271722
TAS2R39	259285
BCL9L	283149
FAM223A	100132967
SMYD4	114826
CPT1A	1374
C8orf31	286122
CPAMD8	27151
KIR3DX1	90011
KCNH7	90134
LINC01684	105372751
OR6J1	79549
IDI2	91734
NAGLU	4669
NF2	4771
MMD	23531
RALGAPB	57148
LINC01692	339622
OXA1L	5018
PRR34	55267
ESCO2	157570
MIRLET7BHG	400931
GTPBP4	23560
LINC01884	102723362
AADACL2	344752
LENG1	79165
CXCR5	643
OAZ2	4947
SLC9A3R1	9368
DLGAP1-AS4	101410534
INTS6L-AS1	100874118
LINC00504	201853
GABRE	2564
KRT33B	3884
DLGAP1-AS1	649446
INTS4	92105
AADACL2-AS1	101928142
HSD17B1	3292
CTR9	9646
PSMB8	5696
RHOG	391
ARHGEF18	23370
MYCBP2-AS1	100874212
PLCXD3	345557
UBN1	29855
FBXL3	26224
TH	7054
KRT33A	3883
PDCD10	11235
TRIM49D1	399939
DLGAP1-AS5	284215
ZNF733P	643955
AC006455.5	100287704
AC006455.5	100287834
TANGO2	128989
PTK2	5747
DLGAP1	9229
RAB37	326624
ZNF718	255403
LINC00571	100874188
GNPTG	84572
MYCBP2	23077
LINC00535	642924
COASY	80347
RBM12B-AS1	55472
HSP90B2P	7190
MZT1	440145
FAM92A	137392
LRRC28	123355
ARID3A	1820
ZFP37	7539
MAD1L1	8379
ASZ1	136991
GSDMD	79792
DIS3	22894
CCDC25	55246
USP32P1	162632
USP32P1	100129396
ESPN	83715
EIF4G2	1982
ZC3HAV1	56829
IDI2-AS1	55853
PSMB9	5698
GOLGA8F	100132565
HLA-DQB2	3120
PTPN9	5780
SLC9B1	150159
TRIM49D2	729384
DSCAS	101927698
CTAG1A	246100
DSC1	1823
PSAP	5660
AC008878.3	23370
FAM74A6	653123
POM121L9P	29774
CDH18	1016
TRIM61	391712
FAM218A	152756
EFCAB6-AS1	100874197
BHLHA9	727857
EFCAB6	64800
SBDSP1	155370
SLC4A1	6521
TMEM273	170371
GALNT15	117248
AC002460.1	105377480
ABCC6	368
LINC02355	101927849
TSR3	115939
HRAT5	102467073
PSMB8-AS1	100507463
DUOX2	50506
SPDYE7P	441251
F2RL3	9002
INSL3	3640
BX005040.4	101930090
SNRNP200	23020
LINC01055	103752581
RPS20	6224
PDXK	8566
PDXK	105372824
AL139246.3	100996583
TAS2R40	259286
CRYBA2	1412
NDUFB3	4709
ARHGEF19	128272
SNUPN	10073
BAIAP3	8938
GLYR1	84656
PLEKHG5	57449
AL163195.2	254028
KIZ	55857
RNASE11	122651
KIR2DL1	3802
KIR2DL1	107987438
KIR2DL1	112267881
ORC2	4999
TDRD3	81550
ATP6V1G2	534
CFAP65	255101
LMNB1-DT	102723557
TBC1D19	55296
MCCD1	401250
SULT1E1	6783
DUOX1	53905
ATP6V1G2-DDX39B	100532737
NTHL1	4913
AC093512.2	226
RNASE12	493901
DDX39B-AS1	106478957
WIZ	58525
DCAF15	90379
NIFK	84365
VSIG4	11326
NMRAL1	57407
C10orf71	118461
NIFK-AS1	254128
PODNL1	79883
DRGX	644168
PIBF1	10464
KCND1	3750
FOXO4	4303
OR5T2	219464
KRTAP17-1	83902
LINC01163	101927381
KRTAP16-1	100505753
STYXL1	51657
SNX4	8723
AC022784.1	157273
AC022784.1	101929128
TMC4	147798
ATXN2L	11273
TRARG1	286753
RBM12B	389677
LTBP1	4052
PKD1	5310
CISD2	493856
C20orf27	54976
FAM126B	285172
IL2RG	3561
PBK	55872
NPY	4852
CTAG1B	1485
FAM155A	728215
KIAA0355	9710
ADORA2B	136
AL355537.1	728327
ZNF555	148254
PLXNA4	91584
ALDOA	226
SFRP4	6424
XYLB	9942
TTTY14	83869
EIF1AD	84285
UFM1	51569
CPS1	1373
FAM136A	84908
AC097468.1	100129175
WSPAR	105664404
BORA	79866
ANOS1	3730
JAK3	3718
TET3	200424
EPDR1	54749
METTL26	84326
CXorf65	158830
FGF20	26281
RPL13AP5	728658
BET1L	51272
LRRC10B	390205
AGTR1	185
INTU	27152
SFTA2	389376
ATG4A	115201
GPR141	353345
ANXA5	308
NME8	51314
SPI1	6688
EDAR	10913
CD300LF	146722
CLN5	1203
AP1AR	55435
HLA-DOB	3112
KIF1B	23095
LIG4	3981
MGMT	4255
PUF60	22827
C5orf15	56951
HLA-DRB3	3125
MUC21	394263
ATP2A3	489
SCGB1C1	147199
IQCM	285423
LINC01674	102724188
ZC3H12C	85463
LILRA2	11027
TRIM64	120146
SLC26A8	116369
ODF3	113746
POLDIP2	26073
CDH6	1004
COL11A2	1302
LILRP2	79166
MSANTD1	345222
LRRN4	164312
TMEM100	55273
EMD	2010
PCOLCE-AS1	100129845
AL773543.1	102725019
HOXA13	3209
DDX52	11056
LINC02085	152225
CRYL1	51084
POTED	317754
RDX	5962
FAM223B	286967
PCOLCE	5118
ARFGEF2	10564
KIR2DS2	100132285
KIR2DS2	112268365
KIR2DS2	112268369
IL1R1	3554
IZUMO1R	390243
SLC25A37	51312
TNFAIP1	7126
BANF1	8815
SAP25	100316904
SLC36A4	120103
C16orf87	388272
OR5T3	390154
LINC01623	401242
OR5T1	390155
HRASLS5	117245
AL117192.2	105370629
OR8H1	219469
AC016888.1	105371893
LYPD6B	130576
HLA-DRB1	3123
HLA-DRB1	105369230
FBXO24	26261
KPNA4	3840
CHL1-AS1	101927193
PROK2	60675
ETV4	2118
CHL1	10752
GPR83	10888
ATAT1	79969
RNASE7	84659
EVX1	2128
NKAP	79576
STK33	65975
ZNF219	51222
LINC00158	54072
EVX1-AS	101410536
NKX3-1	4824
AKR1C3	8644
HLA-DQA2	3117
HLA-DQA2	3118
LINC00877	285286
HCG22	285834
PTPRD-AS1	101929407
PTPRD	5789
NRTN	4902
SCG3	29106
AC100771.2	105376671
AKAP14	158798
LGR4	55366
TP53TG3C	653550
TP53TG3C	729264
TP53TG3C	102723655
TP53TG3C	102723713
TP53TG3C	102724101
TP53TG3C	102724127
SH3RF3	344558
DEFB108B	245911
SPDYE16	102723555
GNE	10020
LINC00870	201617
SOX1	6656
GCSAM	257144
KIR2DL2	3803
DCLK2	166614
LINC01213	101927992
SOX1-OT	100505996
DUOXA2	405753
TRIM53AP	642569
LINC01070	101928698
LINC01043	101928752
OSBPL11	114885
LINC01044	104266956
TSC22D2	9819
PCTP	58488
EPHB1	2047
LRCH4	4034
THAP9	79725
TMEM253	643382
RHOXF1P1	101928941
SHF	90525
KIZ-AS1	101929591
TNNC1	7134
RALGPS1	9649
PIGA	5277
MCM5	4174
RPS3	6188
SPACA7	122258
GNAI2	2771
TPPP2	122664
THAP9-AS1	100499177
ZFP57	346171
CH25H	9023
C6orf15	29113
C3orf52	79669
PIAS2	9063
NISCH	11188
FERMT1	55612
AC044802.1	106699570
SLC39A13	91252
KIR3DL3	115653
NR1D1	9572
DYNC1LI2	1783
EIF2A	83939
STARD3	10948
KY	339855
LINC01442	103456507
RNASE8	122665
LINC02241	105374676
MED24	9862
AL592490.1	64881
YWHAE	7531
LINC02339	101926951
AC011095.1	339298
BAG4	9530
PCDH20	64881
NDRG2	57447
HSF4	3299
TRIM49C	642612
TRIM60	166655
HLA-DMA	3108
CTAG2	30848
SEC31A	22872
STAR	6770
LINC00487	400941
ELOA2	51224
LGALS12	85329
DLGAP1-AS3	201477
NRIR	104326052
ELOA3C	107983955
TNFRSF25	8718
MSC-AS1	100132891
LINC02495	285484
ELOA3B	728929
ELOA3D	100506888
ELOA3D	107983955
ZPLD1	131368
KATNAL2	83473
MAEA	10296
XPC	7508
DHRS11	79154
LINC01634	100192420
SRSF6	6431
DHX8	1659
LSM1	27257
TUBA8	51807
TRPA1	8989
HLA-DMB	3109
ERCC6	2074
ERCC6	267004
ARMH3	79591
ASH2L	9070
SHOC2	8036
NSUN5P2	260294
PSORS1C1	170679
PEX26	55670
HCG14	414760
TP53TG3E	102723655
TP53TG3E	102724101
TP53TG3E	102724127
OR8K3	219473
OR8K1	390157
OR8J1	219477
CDSN	1041
AC004980.1	100133091
TUBB8P12	260334
SYT8	90019
PSORS1C2	170680
POMZP3	22932
NKX2-6	137814
TRIM27	5987
AL591485.1	100506207
MOCS3	27304
POM121	9883
MRPS17	51373
KRT16P1	729252
STC1	6781
APLP2	334
ELOA3	162699
EML6	400954
TMEM43	79188
CLTA	1211
MSC	9242
KLHL29	114818
ZNF713	349075
WDR18	57418
PSTPIP1	9051
ANGPTL2	23452
PIGL	9487
RPL13AP6	644511
NIPSNAP2	2631
AP000808.1	105369364
ALPK1	80216
RUNDC3A	10900
DNAL4	10126
TP53TG3B	729264
TP53TG3B	729355
TP53TG3B	102723655
TP53TG3B	102723713
TP53TG3B	102724101
TP53TG3B	102724127
IFT27	11020
NGLY1	55768
GTF2H2	2966
GTF2H2	728340
SUN2	25777
TSC2	7249
OR8U8	504189
LINC02287	101929002
TP53TG3F	102723655
TP53TG3F	102724101
TP53TG3F	102724127
DEFB125	245938
GAPDH	2597
ARHGAP27	201176
TAP2	6891
NDUFV1	4723
PTPN2	5771
AC136944.3	101929031
KCNG1	3755
AC007431.2	101927557
SLC35B3	51000
MSI2	124540
TRADD	8717
SELENOT	51714
LSM3	27258
EBF3	253738
FUT6	2528
LSM2	57819
SLC25A38	54977
RUNDC3A-AS1	101926996
NCOR1	9611
FBXL8	55336
DEFB131B	100129216
KLHL2	11275
ZNF295-AS1	150142
ZBTB21	49854
POTEA	340441
BEND7	222389
TIFA	92610
BOLA3	388962
FREM2	341640
UNKL	64718
SPATA31A7	26165
SIRPD	128646
VIM	7431
POLM	27434
ARL14	80117
AC024592.2	101928844
FUT3	2525
SIRPB1	10326
IFIT1B	439996
LILRA1	11024
LIPA	3988
LINC02219	102467655
AL590677.1	105376421
UROS	7390
VEGFD	2277
EBAG9	9166
PPM1L	151742
AC004771.1	102724009
KIF1C	10749
SERF1B	8293
SERF1B	728492
ERCC4	2072
SERP1	27230
BCORP1	286554
ZSCAN25	221785
OR8U9	504190
PIGN	23556
DEFB126	81623
LINC02570	105375014
AC007431.1	101927539
ZNF876P	642280
ABHD13	84945
RBPMS2	348093
TAS2R7	50837
AC087382.1	105370868
CHGA	1113
NOL6	65083
ZNF556	80032
GK3P	2713
TMEM192	201931
MPP6	51678
GSAP	54103
TCAP	8557
SPEF1	25876
SLC38A7	55238
GPR119	139760
MAP3K2	10746
FOXR1	283150
MICU3	286097
ABHD16B	140701
TGFA	7039
LST1	7940
HPS6	79803
MRPL21	219927
OXSM	54995
C11orf72	100505621
RYBP	23429
CYP4F29P	54055
C21orf62	56245
PDGFC	56034
AL513422.1	105375972
HDAC8	55869
C21orf62-AS1	54067
LINC00358	100874143
SUB1	10923
FAM74A4	401508
GPR17	2840
GUSBP1	728411
TMEM170B	100113407
ITPRIPL1	150771
CYP51A1	1595
GOLGA8DP	390535
HLA-DQB1-AS1	106480429
PRKCI	5584
HLA-DQB1	3119
LINC01075	103752583
OR9G1	390174
HIBADH	11112
LYPD6	130574
OR9G9	504191
TXNRD3	114112
TXNRD3	645840
CAMK1	8536
TAS2R8	50836
IFIT1	3434
ROCK1P1	727758
DEFB127	140850
CYP51A1-AS1	613126
LRRD1	401387
GAB3	139716
IFIT3	3437
TAS2R9	50835
OR9G4	283189
AL731683.1	102725019
ZNF732	654254
REG3A	5068
MAGEA10	4109
RP9	6100
DEFB128	245939
C10orf143	387723
DEFB129	140881
KRIT1	889
VIM-AS1	100507347
CTAGE7P	119437
SEMA3B-AS1	101928931
LY6L	101928108
IFIT2	3433
SYT7	9066
TNFSF9	8744
MAP7D2	256714
FAH	2184
TAS2R46	259292
TAS2R30	259293
TAS2R31	259290
PRR4	5554
PRR4	11272
PRR4	100533464
KIAA1217	56243
MAGEA10-MAGEA5	100533997
APOM	55937
CORO2B	10391
GTPBP1	9567
UBTFL1	642623
FGL2	10875
AC104827.1	101929064
CNTNAP3C	100289279
JAK2	3717
AP001627.1	101928284
PTPN13	5783
DTX2P1-UPK3BP1-PMS2P11	441263
AC010975.1	101927987
MUCL3	135656
SNTG2	54221
ARPC4-TTLL3	100526693
AARD	441376
LRRTM1	347730
VDAC1	7416
NDUFA11	126328
PDLIM2	64236
PDE9A	5152
RARRES3	5920
LDB1	8861
CU464060.1	100132285
CU464060.1	112268365
CU464060.1	112268369
CTNNA2	1496
HRASLS2	54979
SPDYE18	100505767
TEX45	374877
BOLA3-AS1	100507171
TAS2R20	259295
CCDC146	57639
TAS2R50	259296
TAS2R45	259291
TAS2R14	50840
TAS2R14	106707243
BAG6	7917
TAS2R43	259289
TAS2R43	259291
TAS2R10	50839
PLA2G16	11145
TAS2R19	259294
TAS2R13	50838
ARPC4	10093
FUT5	2527
PRH2	5555
PEX11G	92960
EGR2	1959
CALR	811
KU-MEL-3	497048
SMIM10L1	100129361
ADGRA1	84435
TNKS	8658
ZNF141	7700
MLX	6945
WFS1	7466
RBPMS-AS1	100128750
CENPK	64105
XAGE2	9502
RBPMS	11030
LINC01794	101929700
ZNF358	140467
MIR155HG	114614
CASD1	64921
ADGRA1-AS1	100128127
PDCD6	10016
LINC00515	282566
SPDYE17	102723849
DEFB132	400830
SOX14	8403
ADTRP	84830
TPO	7173
AL590502.1	105378328
LINC01210	100507274
MBOAT7	79143
LINC01913	388942
KIAA2026	158358
NCR3	259197
NRBF2	29982
CRCP	27297
SLC4A2	6522
GPT2	84706
ZNF516	9658
AC099684.1	105371485
RTN4RL1	146760
INSL6	11172
C16orf74	404550
CASC20	101929244
ASCL2	430
PRRC2A	7916
MLANA	2315
AC018413.1	101927989
MDH2	4191
PSMC3IP	29893
XAGE1A	653220
OGG1	4968
GU182343.1	3810
GU182343.2	553128
PEG10	23089
CMPK2	129607
LINC01914	101929723
TXLNGY	246126
C2orf91	400950
ASL	435
XAGE1B	653067
SGCE	8910
ABHD16A	7920
PEX2	5828
THOC1	9984
LINC01505	100996590
GOLGA6L22	440243
USP25	29761
AHRR	57491
ZNRD1ASP	80862
LY6H	4062
RSAD2	91543
KIR2DL3	3804
PNLIPRP1	5407
AC062004.1	102724874
CLDN18	51208
REEP3	221035
XRN2	22803
MOB1A	55233
AC006205.2	105369595
NINJ2	4815
SLC37A4	2542
JMJD1C	221037
AC106820.5	105371050
HLA-A	3105
CASP16P	197350
CCNF	899
GATD1	347862
ANKFN1	162282
CPS1-IT1	29034
DPH3	285381
AC092364.3	641367
AC021054.1	100049716
FAM225B	100128385
FAM225A	286333
BRI3BPP1	641367
ZNF100	163227
LINC01402	104797536
RHOXF2B	727940
AC024361.2	101929552
HSPA1L	3305
MRPL39	54148
CLEC10A	10462
NKAPP1	158801
AC092384.1	100129697
AC092384.2	101927793
VMAC	400673
RHOXF2	84528
TP53TG3D	729264
TP53TG3D	102723655
TP53TG3D	102723713
TP53TG3D	102724101
TP53TG3D	102724127
CBFA2T3	863
CAPS	828
TAX1BP1	8887
RHOXF1	158800
DSG1-AS1	101927718
AL513523.6	343052
AP002754.1	101927495
SPERT	220082
PIF1	80119
THRA	7067
DSG4	147409
RHOXF1-AS1	101928969
ANKRD20A11P	391267
MAF	4094
MRM2	29960
EFCC1	79825
RANBP3	8498
RAD23A	5886
ALCAM	214
ACAD9	28976
ATL3	25923
TNFSF13B	10673
SLCO2A1	6578
SLCO2A1	80111
ASPN	54829
GLRB	2743
CAMK4	814
C8orf58	541565
HSPA1A	3303
HSPA1B	3304
PKIA	5569
DSG1	1828
GADD45GIP1	90480
NOL8	55035
ADORA2A	135
JMJD1C-AS1	84989
PKIA-AS1	101927003
HES1	3280
FKBP15	23307
PKDCC	91461
CPA3	1359
ANKRD49	54851
RPLP0P2	113157
LINC01229	101928248
USP14	9097
CDH12	1010
PIR	8544
MAFTRR	102467146
LINC02185	101927311
POLD3	10714
C18orf65	400658
LINC02186	101927348
CPB1	1360
LINC00908	284276
LINC02037	101929337
OTOAP1	653786
LINC02036	100505920
GABRA3	2556
MRE11	4361
TMEM106B	54664
BDH2	56898
ADORA2A-AS1	646023
SLC31A2	1318
LGALS9C	654346
IL1RL2	8808
TMC5	79838
SEPT10	151011
SPECC1L-ADORA2A	101730217
TTC19	54902
SPECC1L	23384
AL845331.3	100133920
AP2A2	161
RBMX2	51634
BMX	660
GSDME	1687
MUC20	200958
SEMA6A-AS1	101927233
PMCHL1	5369
FLJ40288	286023
SEMA6A	57556
LINC00376	104355293
TAF3	83860
LINC00395	100874157
ADRA2A	150
COX4I1	1327
AL445989.1	112267897
LCOR	84458
TTLL3	26140
MUC20-OT1	440993
MUC20-OT1	727956
AC105339.1	338963
NAALAD2	10003
KIAA1257	57501
IGHMBP2	3508
OTOR	56914
EMSY	56946
NEK4	6787
C20orf96	140680
CENPV	201161
OXCT1	5019
JAZF1-AS1	100128081
JAZF1	221895
AC090587.1	105376527
HERC2P2	400322
SLC9B2	133308
STIM1	6786
SORBS1	10580
AP001803.4	101927120
DEUP1	159989
PI4KAP2	375133
SIAH3	283514
ITPK1-AS1	319085
ITPK1	3705
ZSWIM7	125150
GATAD2B	57459
NRM	11270
AC018695.3	101928557
EMC8	10328
AP001372.2	100287896
LIPT2	387787
NT5DC2	64943
CDK5	1020
TSEN34	79042
UPB1	51733
SHQ1	55164
ZC3H13	23091
RPS25	6230
ZNF43	7594
DKC1	1736
OR6S1	341799
ARHGAP24	83478
RASAL3	64926
LINC01927	101927651
KIR3DL1	3811
KIR3DL1	112268368
LINC00683	400660
MOS	4342
DLGAP2-AS1	100507435
HM13-AS1	100874042
PLAG1	5324
OXCT1-AS1	100874002
DLGAP2	9228
HM13	81502
FIGN	55137
RPL23AP64	649946
SPART	23111
TRAPPC4	51399
AC083949.1	102723824
EML4	27436
DDR1	780
ZNF57	126295
TRIM74	378108
SLMAP	7871
RPL18A	6142
MAP3K20	51776
HS3ST2	9956
ADAM7	8756
LINC00887	100131551
NPR3	4883
IFT88	8100
RNASE4	6038
HPX	3263
DAND5	199699
KIF26B	55083
ANG	283
CPN2	1370
LINC02000	100507210
PBRM1	55193
CPEB2-DT	441009
GTF2IP7	101927126
CPB2	1361
ACO1	48
AL445238.1	647264
OR7E104P	102723968
NOG	9241
ANKRD29	147463
DYNLRB2	83657
TTC26	79989
HLA-F	3134
DGKE	8526
GOLGA8IP	283796
FAM9A	171482
PTPRD-AS2	101929428
CCDC84	338657
ADAM28	10863
DNAJA2	10294
TMEM50B	757
AC105411.1	102724084
MAPK10	5602
KIR2DL4	3805
KIR2DL4	112268354
EIF4G3	8672
LRRC15	131578
SLIT2-IT1	100505893
TRIM25	7706
CPB2-AS1	100509894
GP5	2814
SLIT2	9353
FAM9B	171483
TDRD7	23424
SPDYE8P	728524
ABCA11P	79963
STAG3L3	378108
STAG3L3	442578
SPART-AS1	100507135
ZNF721	170960
LINC01879	400661
DZIP1L	199221
USP31	57478
ATAD2B	54454
B4GALNT2	124872
ZNF236-DT	100131655
MITF	4286
TPD52L2	7165
FLOT1	10211
ZNF311	282890
C17orf67	339210
FAM27C	100132948
VPS28	51160
MAP3K20-AS1	339751
IFNGR2	3460
PTCHD3	374308
CSTB	1476
HLA-F-AS1	285830
RYK	6259
SSX2B	727837
NEB	4703
SNHG21	100505616
CHCHD7	79145
ZCCHC3	85364
GOT2	2806
NRSN2-AS1	100507459
HLA-G	3135
NRSN2	80023
FAM242E	105379438
AC009365.1	100506937
FSD2	123722
RPUSD3	285367
ZC2HC1A	51101
FKBP7	51661
AL807761.4	340512
ZNF462	58499
AC022905.1	392232
SSX8P	280659
GKAP1	80318
AKAP13	11214
IL7	3574
SSX2	6757
ADAMDEC1	27299
RGMA	56963
MMADHC	27249
PIN4	5303
KANSL1-AS1	644246
SMN2	6606
SMN2	6607
SOX12	6666
KANSL1	284058
PRAMEF9	343070
ZNF77	58492
PRAMEF25	441873
PRAMEF25	645359
CDYL	9425
CHCHD3	54927
HNRNPCL2	440563
CITED1	4435
PRAMEF18	391003
IL18R1	8809
MYO16	23026
UBXN2A	165324
SSX7	280658
IFITM4P	340198
KIF27	55582
HNRNPCL4	101060301
GGCX	2677
HLA-J	3137
ODAPH	152816
RIC8A	60626
TUBA3E	112714
JAM2	58494
TADA3	10474
TSN	7247
BRD2	6046
KCTD14	65987
FN3KRP	79672
NLGN2	57555
HLA-H	3136
AC024958.1	101929315
ZNRD1	30834
NDUFC2-KCTD14	100532726
FAM71F2	346653
IL1RL1	9173
RPL10	6134
RPS4X	6191
THRSP	7069
AC007364.1	101929231
LINC00692	285326
NDUFC2	4718
SRRM3	222183
PCSK2	5126
PPRC1	23082
ERCC6L	54821
AC092902.2	101927056
MYO16-AS1	100885782
FGF11	2256
CDKL2	8999
PSMD13	5719
GRB14	2888
AL022725.1	101927913
LINC02197	102724392
OR4C46	119749
ABI3	51225
AC245931.1	107987420
AC245931.1	107987434
PMCHL2	5370
ATP5PF	522
SLC26A3	1811
DPYS	1807
NFIX	4784
CR769775.4	100132874
AC092634.3	107986806
RAB34	83871
SLC30A8	169026
SPDYE11	100996746
GLRX3	10539
UBXN7	26043
PRAMEF5	343068
LIPI	149998
SPEM1	374768
DCSTAMP	81501
AP000924.1	105369486
PRAMEF8	391002
GNGT2	2793
MRGPRD	116512
SPEM3	107983988
TMEM102	284114
RGS12	6002
ECM2	1842
MSMO1	6307
TLE6	79816
HCG9	10255
CHRNB1	1140
SLC9A3	6550
MAT2A	4144
CYP3A5	1577
IL17RC	84818
STOML3	161003
RFX1	5989
TAZ	6901
SLC1A2	6506
AC098829.1	101929095
CENPP	401541
AC008771.1	105379049
PRPF4	9128
MRGPRF-AS1	101928200
CCNA1	8900
MRGPRF	116535
C1QTNF7	114905
FAM151B	167555
OR7E37P	100506759
GOLGA8G	283768
GOLGA8G	100132565
RGCC	28984
MEF2A	4205
SBSPON	157869
GPAM	57678
OMD	4958
CHSY1	22856
TERF1	7013
HIVEP1	3096
ENGASE	64772
OGN	4969
SLC9A3-AS1	100288152
CPEB2	132864
SLC25A31	83447
EXOC3-AS1	116349
PP7080	25845
LY6G6E	79136
EXOC3	11336
SPEM2	201243
LY6G6D	58530
LY6G6D	110599563
GABPA	2551
PML	5371
LY6G6F	259215
SLC31A1	1317
PLPPR3	79948
SIRT3	23410
LINC01823	101927801
ANKRD34B	340120
IER3IP1	51124
MYH11	4629
IPPK	64768
SKIL	6498
LINC01826	107985818
NUP210P1	255330
FDX1	2230
AC091078.1	105370982
AC013562.1	101926908
HDHD2	84064
KCNB2	9312
WNK1	65125
CDC26	246184
AZU1	566
MOG	4340
PRAMEF33	645382
C5orf51	285636
AMOTL2	51421
EDDM3A	10876
SLC52A1	55065
RFTN1	23180
SDR16C5	195814
UMODL1	89766
EDDM3B	64184
LILRA6	79168
ITPR1	3708
LINC02214	102467223
VWA8-AS1	100507240
MT4	84560
VWA8	23078
PGLYRP2	114770
MROH6	642475
LINC00399	104326054
LINC00676	101409253
AC068481.1	101929452
IRS2	8660
RNF144A	9781
LYSMD4	145748
STARD3NL	83930
LCP1	3936
MT3	4504
MMEL1	79258
PLEKHA3	65977
LINC00396	104355146
OR2W1	26692
RNASE6	6039
OR2B3	442184
FBXO4	26272
RNF144A-AS1	386597
FGF7P6	387628
OR2J1	442185
OR13A1	79290
OR2J3	442186
MAGI2-AS2	100874021
MFSD2B	388931
RRP1	8568
LILRB1	10859
LILRB1	107987461
MAGI2	9863
ALOX5	240
LINC01052	105370242
FKBP1B	2281
GRIN3B	116444
PTPRK	5796
SDR16C6P	442388
GTF2IP4	100093631
GATA3-AS1	399717
GATA3	2625
GP9	2815
TMEM259	91304
MT2A	4502
LINC00968	100507632
WDCP	80304
OXNAD1	92106
NOMO3	408050
PENK	5179
AL157896.1	101928453
PRPF18	8559
CPE	1363
SELENOS	55829
AC010834.2	105375645
MT1L	4500
AC012349.1	101929415
PRXL2B	127281
DDX58	23586
WHAMM	123720
IMP4	92856
MED30	90390
TRGC1	445347
COL4A6	1288
TRG-AS1	100506776
AL731567.2	102724323
DNASE1L1	1774
OR2J2	26707
HSPB1	3315
KNDC1	85442
FRMD4A	55691
LILRB3	11025
LILRB3	102725035
LILRB3	107987425
LILRB3	107987462
SLC25A39	51629
RLN3	117579
C6orf48	50854
RANBP1	5902
GYG1	2992
LIN54	132660
PNPLA6	10908
PCDH9-AS2	100874064
PCDH9-AS3	100874086
PCDH9-AS4	100874087
PCDH9	5101
UMODL1-AS1	150147
CDCA7	83879
SPO11	23626
TTC34	100287898
SOWAHC	65124
GLT8D1	55830
SLC9C1	285335
TMEM92	162461
PPP1R27	116729
CR936918.1	101929006
GU182345.2	3810
CR936918.2	101929006
OR14J1	442191
PRDM9	56979
DHODH	1723
AL845331.2	100509620
MPIG6B	80739
LINC01005	100506050
MRTFB	57496
